Name,Dist_ID,District,Prov_ID,Province,Sect_ID,NO2_mean,CO_mean,SO2_mean,O3_mean
Kintobo,34,Nyabihu,3,Western Province,3406,3.888340693067596e-05,0.02818522682570066,1.3714859677677442e-05,0.11830075062237042
Mukamira,34,Nyabihu,3,Western Province,3407,3.77987448408413e-05,0.027153916605985037,7.935910318565453e-06,0.11805309438281489
Muringa,34,Nyabihu,3,Western Province,3408,3.864607052593161e-05,0.027162572507817794,2.73700060015884e-06,0.11816494313161384
Rambura,34,Nyabihu,3,Western Province,3409,3.8769696577924534e-05,0.027053386859784007,-1.2243783467613998e-05,0.11819704345441152
Rugera,34,Nyabihu,3,Western Province,3410,4.049613443344185e-05,0.029442592785804866,-5.583049567324556e-07,0.11849490984420029
Rurembo,34,Nyabihu,3,Western Province,3411,3.941764972909192e-05,0.028811709057622897,-1.9880303778741978e-05,0.1183232639655062
Shyira,34,Nyabihu,3,Western Province,3412,4.0470009303607395e-05,0.029676649210786856,3.2928441620769854e-05,0.11847305099902455
Bwira,35,Ngororero,3,Western Province,3501,4.1411860728526736e-05,0.029427117357691695,3.6840900280781626e-07,0.11856811084014317
Gatumba,35,Ngororero,3,Western Province,3502,4.1247313696661786e-05,0.030530779119373765,3.0989237505116324e-07,0.11867709422618314
Hindiro,35,Ngororero,3,Western Province,3503,4.062176731269617e-05,0.029711432370715135,2.732127759995308e-05,0.11851272097668943
Kabaya,35,Ngororero,3,Western Province,3504,3.958574032532942e-05,0.02852075799916901,3.447631950885485e-06,0.11833112099518323
Kageyo,35,Ngororero,3,Iburengerazuba,3505,4.071307543912756e-05,0.029222328119191558,-1.9824386698957793e-05,0.1185063451367104
Kavumu,35,Ngororero,3,Western Province,3506,4.055052763507674e-05,0.028277711940246655,-5.815487918973929e-06,0.1183526495236402
Matyazo,35,Ngororero,3,Western Province,3507,4.162898446588105e-05,0.03001332059362306,1.9603421210422934e-05,0.11858308528056002
Muhanda,35,Ngororero,3,Western Province,3508,3.892176755464318e-05,0.027285731875989712,-5.118865751415483e-06,0.11829423065323352
Muhororo,35,Ngororero,3,Western Province,3509,4.065896237791684e-05,0.030258457764977275,-3.0481266560941835e-06,0.11865928098865304
Ndaro,35,Ngororero,3,Western Province,3510,4.1328115281596174e-05,0.029787701522646724,5.048885892436627e-06,0.11852541372126028
Ngororero,35,Ngororero,3,Iburengerazuba,3511,4.077142796423964e-05,0.030265740076966377,-3.438908921550163e-06,0.11862998366931758
Nyange,35,Ngororero,3,Western Province,3512,4.164180674056832e-05,0.030794399013925507,2.0148661535782633e-05,0.11853427448874343
Sovu,35,Ngororero,3,Western Province,3513,4.0111329267755655e-05,0.028299027673477792,-1.9592838377214895e-05,0.11841098328236797
Bugarama,36,Rusizi,3,Western Province,3601,4.3178281199913546e-05,0.034913416065794796,2.8897021706759343e-05,0.11878814563578216
Butare,36,Rusizi,3,Western Province,3602,3.992843917639838e-05,0.02902694890752844,2.6667822815808188e-05,0.11847911633025526
Bweyeye,36,Rusizi,3,Western Province,3603,3.970804670594125e-05,0.02701202827442998,2.0371383211726093e-05,0.11836582416834936
Gashonga,36,Rusizi,3,Western Province,3604,4.05325926752322e-05,0.031584521040010013,3.294922834966115e-05,0.11856633220364707
Giheke,36,Rusizi,3,Western Province,3605,4.069894661154679e-05,0.030780413225699802,2.2957298748846622e-05,0.11836396180344848
Gihundwe,36,Rusizi,3,Western Province,3606,4.122823520612014e-05,0.03124036952652074,1.2736420352317168e-05,0.11836496076951299
