sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district
  Mutenderi,42.3,23.9,26.7,7,100,25739,Ngoma
  Remera,48.1,20,24.4,7.5,100,33049,Ngoma
  Rukira,49.7,22,23.7,4.6,100,29946,Ngoma
  Rukumberi,27.1,21.4,31.5,20,100,39946,Ngoma
  Rurenge,37.4,25.9,29.4,7.3,100,33876,Ngoma
  Sake,33.9,22.1,30.1,13.9,100,28710,Ngoma
  Zaza,38.9,23.8,26.9,10.3,100,28074,Ngoma
  Gashora,51.5,21.5,20.2,6.8,100,33560,Bugesera
  Juru,31.2,27.6,30.3,10.9,100,34020,Bugesera
  Kamabuye,31.4,26.9,30.5,11.2,100,23660,Bugesera
  Mareba,29.9,21.7,32.9,15.4,100,28866,Bugesera
  Mayange,63.1,18.3,15,3.6,100,53266,Bugesera
  Musenyi,32.7,23.8,31.5,12,100,39886,Bugesera
  Mwogo,30.6,27,30.4,12,100,31373,Bugesera
  Ngeruka,28.5,23,33.4,15.1,100,35192,Bugesera
  Ntarama,54.2,17.9,18.2,9.7,100,50127,Bugesera
  Nyamata,67.9,15.7,12.5,3.9,100,85982,Bugesera
  Nyarugenge,32,24,31,13,100,25347,Bugesera
